name,red,green,blue,alpha,id
void,0,0,0,255,0
wall,119,119,119,255,1
floor,244,243,131,255,2
ceiling,255,190,190,255,3
chair,54,114,113,255,4
table,255,150,255,255,5
window,0,163,33,255,6
curtain,150,255,0,255,7
picture,255,180,10,255,8
bed,150,255,255,255,9
sofa,0,0,176,255,10
pillow,24,209,255,255,11
monitor,152,163,55,255,12
sink,70,72,115,255,13
trashcan,87,64,34,255,14
toilet,193,195,234,255,15
refrigerator,192,79,212,255,16
oven,70,72,115,255,17
bathtub,52,57,131,255,18
cabinet,137,28,157,255,19
object,255,69,0,255,20
